"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
27900,"AK Okereke","AK",1610612747,"LAL",23,2,1,1,0.5,17.9,1.5,3,0.5,0.5,1,0.5,1.5,1.5,1,1,1.5,2.5,0.5,0,0.5,1,0,3,2,6.5,-4.5,14.8,0,0,13,1,19,21,39,61,68,80,32,46,69,12,22,35,1,28,70,68,68,89,48,12,54,17,38,58,70,64,5,1,65,1
1643058,"Aaron Scott","Aaron",1610612751,"BKN",22,1,1,0,1,26.9,2,6,0.333,1,3,0.333,2,3,0.667,3,3,6,1,0,1,0,0,1,3,9,17,20.7,0,0,19,67,19,68,1,16,56,49,68,28,32,32,15,9,40,3,33,14,53,89,27,53,54,72,17,40,7,38,5,1,39,1
1643244,"Aaron Williams","Aaron",1610612749,"MIL",34,1,0,1,0,6.5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,67,67,21,67,97,97,94,97,66,50,66,67,82,67,78,95,97,79,89,66,53,54,92,91,98,63,104,5,1,105,1
1641745,"Adam Flagler","Adam",1610612758,"SAC",26,2,2,0,1,20.6,2,8.5,0.235,0.5,4,0.125,1.5,2,0.75,0.5,2,2.5,3,1,1.5,0,0.5,2,4.5,7.5,11.5,18.5,0,0,16.5,1,1,68,1,42,56,24,91,46,20,63,22,23,36,55,61,68,13,50,17,53,31,39,8,52,15,50,5,1,52,1
1642876,"Adou Thiero","Adou",1610612747,"LAL",22,2,1,1,0.5,25.7,3,9.5,0.316,0,1.5,0,3,6,0.5,0.5,3,3.5,2,1.5,2.5,0,2.5,2.5,6.5,11,-13,24.2,0,0,21.5,1,19,21,39,21,34,17,81,66,61,66,4,3,50,55,33,46,32,37,2,53,3,26,4,23,101,26,5,1,28,1
1643158,"Andersson Garcia","Andersson",1810612744,"GWB",25,2,0,2,0,15.6,1,3.5,0.286,0.5,1.5,0.333,1,1,1,1.5,2.5,4,1,2,1,0,0.5,2.5,1,4.5,-11,11.8,0,0,12,1,67,1,67,75,82,76,87,46,61,32,28,42,1,19,49,36,53,19,27,53,31,26,58,71,95,74,5,1,71,1
27901,"Anthony Dell'Orso","Anthony",1610612758,"SAC",22,1,1,0,1,8.2,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,-2,1.4,0,0,2,67,19,68,1,95,97,98,97,66,87,66,67,82,67,28,75,73,79,50,66,53,54,72,58,98,56,101,5,1,101,1
1641817,"Anton Watson","Anton",1610612747,"LAL",25,2,1,1,0.5,24.9,3,7.5,0.4,0.5,3,0.167,2.5,2.5,1,2,4.5,6.5,0.5,0.5,1,0.5,1,3,3,10.5,-9.5,23.1,1,0,21,1,19,21,39,25,34,38,56,46,32,57,10,19,1,9,15,9,68,79,27,27,13,17,17,28,93,31,1,1,30,1
1643728,"Arnas Sakenis","Arnas",1610612748,"MIA",23,2,1,1,0.5,4.9,0.5,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0.5,1,-5.5,3.7,0,0,3,1,19,21,39,103,95,102,1,66,87,66,67,82,67,78,75,85,79,89,66,27,54,92,80,97,77,97,5,1,98,1
1641751,"Arthur Kaluma","Arthur",1610612747,"LAL",24,1,0,1,0,17.9,5,12,0.417,1,6,0.167,1,2,0.5,3,3,6,1,2,0,2,1,2,1,12,-17,24.7,0,0,24,67,67,21,67,62,10,10,53,28,9,57,28,23,50,3,33,14,53,19,66,5,13,39,58,18,105,23,5,1,21,1
1643577,"B.J. Edwards","B.J.",1610612758,"SAC",23,1,1,0,1,6.4,1,3,0.333,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,2,67,19,68,1,98,82,80,68,66,69,66,67,82,67,78,95,97,79,19,66,53,54,92,91,91,39,104,5,1,101,1
27893,"Ben Humrichous","Ben",1610612751,"BKN",23,2,1,1,0.5,24.7,3.5,9.5,0.368,3.5,8.5,0.412,0,0,0,1.5,3.5,5,1,1,2,0.5,0.5,0.5,0,10.5,4.5,24.5,0,0,25,1,19,21,39,28,28,17,65,2,5,27,67,82,67,19,29,23,53,50,6,27,31,84,91,28,27,24,5,1,19,1
1642879,"Ben Saraf","Ben",1610612751,"BKN",20,1,0,1,0,27,4,10,0.4,0,0,0,1,1,1,2,4,6,1,2,0,1,4,3,3,10,-8,19.7,0,0,19,67,67,21,67,14,22,15,56,66,87,66,28,42,1,9,22,14,53,19,66,12,1,17,17,30,83,43,5,1,39,1
1642881,"Bogoljub Marković","Bogoljub",1610612749,"MIL",20,1,1,0,1,24.8,8,12,0.667,0,3,0,0,1,0,2,5,7,3,3,1,0,1,6,2,16,-1,28.9,0,0,28,67,19,68,1,27,2,10,13,66,32,66,67,42,67,9,8,5,13,6,27,53,13,1,38,9,48,11,5,1,10,1
1630527,"Brandon Boston Jr.","Brandon",1610612749,"MIL",24,2,1,1,0.5,25.7,6.5,11,0.591,1.5,3,0.5,2,2,1,0.5,3,3.5,2,3,1.5,0,0.5,1.5,2,17.5,2,26.2,0,0,27.5,1,19,21,39,20,6,13,22,17,32,12,15,23,1,55,33,46,32,6,17,53,31,54,38,6,34,18,5,1,12,1
1643064,"Cam Carter","Cam",1610612748,"MIA",23,1,0,1,0,5.6,1,3,0.333,1,2,0.5,0,0,0,0,1,1,1,0,0,0,0,3,0,3,0,5.7,0,0,6,67,67,21,67,100,82,80,68,28,50,12,67,82,67,78,75,85,53,89,66,53,54,17,91,85,44,90,5,1,90,1
1643418,"Cameron Carr","Cameron",1610612747,"LAL",21,2,1,1,0.5,28.3,7,15.5,0.452,4.5,10,0.45,2,3,0.667,0.5,4.5,5,1,0.5,0,0.5,0,1.5,2,22.5,-4.5,31,0,0,34,1,19,21,39,9,4,2,47,1,2,25,15,9,40,55,15,23,53,79,66,27,54,54,38,3,70,7,5,1,1,1
1642568,"Cameron Tyson","Cameron",1810612744,"GWB",26,2,0,2,0,19.7,1.5,8,0.188,1.5,6,0.25,0.5,0.5,1,0.5,2.5,3,1.5,0.5,0.5,0,0,2.5,0.5,5,-13.5,11.9,0,0,12,1,67,1,67,53,68,29,93,17,9,46,47,62,1,55,49,57,45,79,48,53,54,26,80,66,102,73,5,1,71,1
