"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
1642846,"Ace Bailey","Ace",1610612762,"UTA",19,1,1,0,1,19.5,4,8,0.5,0,2,0,1,1,1,0,6,6,0,1,1,1,0,1,1,10,10,22.2,0,0,20,1,1,22,1,24,13,12,16,24,22,24,11,15,1,23,3,5,37,20,10,7,14,22,20,19,8,20,1,1,21,1
1643530,"Aday Mara","Aday",1610612760,"OKC",21,1,0,1,0,22,5,8,0.625,0,1,0,0,1,0,0,3,3,4,3,1,2,0,1,3,10,-27,25.6,0,0,23,1,24,1,24,18,7,12,12,24,29,24,22,15,22,23,11,19,4,6,10,1,14,22,7,19,43,11,1,1,15,1
1643208,"Anthony Pritchard","Anthony",1610612760,"OKC",23,1,0,1,0,10.3,1,3,0.333,0,1,0,2,2,1,0,0,0,1,1,1,0,0,1,3,4,-7,7.5,0,0,7,1,24,1,24,38,33,34,33,24,29,24,3,7,1,23,36,38,26,20,10,15,14,22,7,34,30,35,1,1,34,1
1642854,"Asa Newell","Asa",1610612737,"ATL",20,1,0,1,0,27.5,5,15,0.333,1,6,0.167,3,5,0.6,3,2,5,3,0,1,0,2,0,3,15,7,28.5,0,0,26,1,24,1,24,4,7,3,33,13,6,23,2,2,17,3,19,10,8,32,10,15,2,34,7,4,12,5,1,1,9,1
1642892,"Bennett Stirtz","Bennett",1610612760,"OKC",22,1,0,1,0,24.3,3,6,0.5,2,3,0.667,1,1,1,0,3,3,4,2,3,0,0,2,2,10,-22,26.6,0,0,25,1,24,1,24,12,19,23,16,7,13,6,11,15,1,23,11,19,4,12,2,15,14,17,14,19,41,9,1,1,11,1
1642396,"Blake Hinson","Blake",1610612762,"UTA",26,1,1,0,1,25.9,3,7,0.429,1,5,0.2,0,0,0,1,2,3,2,1,1,0,0,3,1,7,-8,15.6,0,0,15,1,1,22,1,8,19,18,26,13,7,22,22,28,22,13,19,19,17,20,10,15,14,6,20,26,33,27,1,1,28,1
1643722,"Brendan Hausen","Brendan",1610612763,"MEM",21,1,1,0,1,2.2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,1,1,22,1,42,33,41,1,13,29,1,22,28,22,23,36,38,37,32,25,15,14,34,33,35,15,43,1,1,42,1
1642964,"Brooks Barnhizer","Brooks",1610612760,"OKC",24,1,0,1,0,20.2,6,12,0.5,1,4,0.25,0,1,0,2,4,6,1,1,0,0,2,1,2,13,-28,20.7,0,0,21,1,24,1,24,20,5,6,16,13,10,19,22,15,22,5,6,5,26,20,25,15,2,22,14,11,44,23,1,1,20,1
1643409,"Cameron Boozer","Cameron",1610612763,"MEM",18,1,1,0,1,24.2,7,11,0.636,1,3,0.333,0,1,0,2,2,4,4,2,0,0,0,1,1,15,10,23.8,0,0,24,1,1,22,1,13,3,9,11,13,13,15,22,15,22,5,19,15,4,12,25,15,14,22,20,4,8,17,1,1,13,1
1643721,"Carson Cooper","Carson",1610612763,"MEM",22,1,1,0,1,18.7,5,6,0.833,1,1,1,0,0,0,3,2,5,3,0,0,1,1,2,1,11,-6,24.5,0,0,22,1,1,22,1,25,7,23,6,13,29,1,22,28,22,3,19,10,8,32,25,7,7,17,20,16,28,15,1,1,18,1
1642907,"Cedric Coward","Cedric",1610612763,"MEM",22,1,1,0,1,24.6,3,12,0.25,3,8,0.375,1,2,0.5,1,7,8,0,4,1,2,0,3,3,11,14,25.6,0,0,28,1,1,22,1,11,19,6,39,2,3,14,11,7,18,13,2,3,37,3,10,1,14,6,7,16,7,11,1,1,6,1
1643754,"Christoph Tilly","Christoph",1610612760,"OKC",23,1,0,1,0,19.8,3,6,0.5,0,0,0,1,2,0.5,0,3,3,1,0,1,1,1,1,2,7,-13,18.1,0,0,15,1,24,1,24,22,19,23,16,24,36,24,11,7,18,23,11,19,26,32,10,7,7,22,14,26,35,26,1,1,28,1
1642262,"Cody Williams","Cody",1610612762,"UTA",21,1,1,0,1,33.6,8,13,0.615,1,1,1,0,0,0,2,3,5,1,6,1,2,0,3,1,17,8,27.5,0,0,30,1,1,22,1,1,2,5,14,13,29,1,22,28,22,5,11,10,26,2,10,1,14,6,20,2,11,7,1,1,3,1
1643408,"Darryn Peterson","Darryn",1610612762,"UTA",19,1,1,0,1,27.4,11,21,0.524,4,7,0.571,2,3,0.667,2,3,5,2,8,0,2,0,4,7,28,-1,35,0,0,43,1,1,22,1,5,1,1,15,1,4,10,3,4,14,5,11,10,17,1,25,1,14,2,1,1,21,2,1,1,1,1
1643019,"Gabe Madsen","Gabe",1610612737,"ATL",25,1,0,1,0,26.6,6,14,0.429,3,9,0.333,0,0,0,1,3,4,2,4,3,0,0,3,1,15,-7,27.8,0,0,30,1,24,1,24,7,5,4,26,2,1,15,22,28,22,13,11,15,17,3,2,15,14,6,20,4,30,6,1,1,3,1
1643060,"Hayden Gray","Hayden",1610612762,"UTA",23,1,1,0,1,7.3,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6.5,0,0,5,1,1,22,1,40,33,35,16,24,36,24,22,28,22,23,36,38,26,32,10,15,14,34,33,36,18,38,1,1,40,1
1643539,"Henri Veesaar","Henri",1610612737,"ATL",22,1,0,1,0,18.2,2,4,0.5,1,3,0.333,0,0,0,1,2,3,1,0,0,0,0,2,0,5,-13,10.1,0,0,10,1,24,1,24,26,28,31,16,13,13,15,22,28,22,13,19,19,26,32,25,15,14,17,33,29,35,32,1,1,33,1
