"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
1643407,"AJ Dybantsa","AJ",1610612764,"WAS",19,1,1,0,1,26.4,7,18,0.389,0,5,0,7,8,0.875,0,7,7,2,1,2,1,2,1,13,27,7,46.4,0,0,42,1,1,28,1,22,6,4,24,32,14,32,1,1,19,37,2,9,20,29,8,11,7,38,1,2,16,3,6,1,3,1
1643530,"Aday Mara","Aday",1610612760,"OKC",21,1,0,1,0,24.8,0,3,0,0,0,0,1,3,0.333,3,4,7,1,3,1,2,1,3,4,2,-17,17.9,0,0,16,1,25,1,25,28,49,47,49,32,44,32,22,16,34,7,14,9,29,8,16,4,11,17,15,44,48,34,6,1,35,1
1642284,"Alex Karaban","Alex",1610612758,"SAC",23,1,1,0,1,24,0,6,0,0,4,0,0,0,0,1,1,2,1,3,0,1,0,1,0,0,12,3.9,0,0,5,1,1,28,1,30,49,38,49,32,23,32,36,41,36,21,38,40,29,8,37,11,29,38,46,51,8,51,6,1,50,1
1643512,"Allen Graves","Allen",1610612761,"TOR",19,1,0,1,0,29.1,9,16,0.563,3,8,0.375,1,1,1,5,8,13,0,2,3,2,1,3,1,22,8,50.6,1,0,48,1,25,1,25,8,2,7,9,4,5,15,22,26,1,1,1,1,40,15,2,4,11,17,35,7,14,1,1,1,2,1
1642394,"Baba Miller","Baba",1610612746,"LAC",22,1,0,1,0,27.2,3,4,0.75,1,1,1,3,4,0.75,2,3,5,1,2,0,3,0,4,3,12,2,26.5,0,0,25,1,25,1,25,17,28,44,2,19,35,1,9,10,21,13,20,16,29,15,37,2,29,12,25,26,22,25,6,1,26,1
1642892,"Bennett Stirtz","Bennett",1610612760,"OKC",22,1,0,1,0,28.2,7,14,0.5,3,8,0.375,1,1,1,0,0,0,2,4,1,1,0,2,1,18,-15,23,0,0,27,1,25,1,25,12,6,12,15,4,5,15,22,26,1,37,47,49,20,3,16,11,29,26,35,14,45,30,6,1,23,1
1643552,"Braden Smith","Braden",1610612754,"IND",22,1,1,0,1,29.9,1,8,0.125,1,5,0.2,1,2,0.5,1,7,8,4,4,3,0,0,4,5,5,-5,25.6,0,0,24,1,1,28,1,4,41,29,47,19,14,26,22,21,28,21,2,6,6,3,2,28,29,12,11,36,31,27,6,1,28,1
1643415,"Brayden Burries","Brayden",1610612749,"MIL",20,1,0,1,0,21.8,6,15,0.4,1,5,0.2,3,3,1,0,3,3,3,0,0,0,0,1,5,18,-10,26.1,0,0,25,1,25,1,25,37,13,10,22,19,14,26,9,16,1,37,20,31,11,43,37,28,29,38,11,14,39,26,6,1,26,1
1643570,"Bruce Thornton","Bruce",1610612745,"HOU",22,1,1,0,1,35.1,7,18,0.389,3,8,0.375,7,7,1,0,3,3,3,1,3,0,1,6,7,27,20,43.1,0,0,42,1,1,28,1,1,6,4,24,4,5,15,1,4,1,37,20,31,11,29,2,28,11,4,4,2,2,4,6,1,3,1
1643624,"Bryce Hopkins","Bryce",1610612743,"DEN",24,1,0,1,0,26.4,9,13,0.692,1,2,0.5,3,6,0.5,0,4,4,0,2,3,2,3,2,7,24,-10,41.8,0,0,39,1,25,1,25,23,2,13,3,19,32,7,9,6,28,37,14,24,40,15,2,4,3,26,4,4,39,6,6,1,5,1
